pub_type_simple_5,stance,point,ci_lower,ci_upper
Research Article,Alarm,5.029557127628646,4.605049042180196,5.4429689233597855
Research Article,Caution,22.618470782052526,21.830757388759995,23.48834671937855
Research Article,Neutral,19.536776819459252,18.7369476333627,20.30830858560592
Research Article,Cautious Optimism,52.262816164357005,51.245288915366004,53.1819861907154
Research Article,Advocacy,0.5523791065025682,0.4144969412564874,0.6933204900780089
Editorial,Alarm,1.7326732673267329,0.5074551861888225,3.0771971496437054
Editorial,Caution,31.435643564356436,26.97999332375986,35.77196908720888
Editorial,Neutral,23.51485148514851,19.37599681020734,27.705590628410395
Editorial,Cautious Optimism,36.88118811881188,32.54577552805899,41.629397521720556
Editorial,Advocacy,6.435643564356436,4.215456674473068,8.845370490107332
Review,Alarm,0.6241968055810538,0.42271058881453727,0.8676389145283366
Review,Caution,18.560675601248395,17.53810350801719,19.621109493509202
Review,Neutral,11.602717091977235,10.76902174119505,12.445124582288226
Review,Cautious Optimism,67.78042959427208,66.47333109594244,68.94320101977293
Review,Advocacy,1.431980906921241,1.1202887048294854,1.7423621069372037
Commentary,Alarm,3.8461538461538463,0.8924655388471181,7.624223602484467
Commentary,Caution,39.42307692307692,30.55482456140351,48.57453416149068
Commentary,Neutral,27.884615384615387,19.9950495049505,36.44884151090343
Commentary,Cautious Optimism,25.961538461538463,18.10131251941597,33.6734693877551
Commentary,Advocacy,2.8846153846153846,0.0,6.741573033707865
Letter,Alarm,5.010438413361169,3.1179100985328403,7.036752441708508
Letter,Caution,32.150313152400834,28.29138224256593,36.157117030696575
Letter,Neutral,29.64509394572025,25.53964237047749,33.85320499692812
Letter,Cautious Optimism,28.39248434237996,24.509092018550156,32.444679818747346
Letter,Advocacy,4.801670146137787,2.783429137579158,6.802756154007995
