pmid,journal,pub_type_simple_5,specialty,country,region,predictive_claim,title
33529363,Epilepsia,Review,Neurology / Neuroscience,USA,North America,yes,Can Big Data guide prognosis and clinical decisions in epilepsy?
33447941,Drug delivery and translational research,Review,Medical Informatics / Digital Health,India,South/Southeast Asia,yes,Intelligent automated drug administration and therapy: future of healthcare.
34648746,Journal of the American College of Radiology : JACR,Research Article,Radiology / Diagnostic Imaging,Israel,Middle East / North Africa,yes,Accelerating Development and Clinical Deployment of Diagnostic Imaging Artificial Intelligence.
33731170,Diagnostic pathology,Review,Pathology / Laboratory Medicine,Pakistan,South/Southeast Asia,yes,"Artificial intelligence (AI) in medicine, current applications and future role with special emphasis on its potential and promise in pathology: present and future impact, obstacles including costs and acceptance among pathologists, practical and philosophical considerations. A comprehensive review."
33740447,Cell,Research Article,Medical Informatics / Digital Health,USA,North America,yes,Precision medicine in 2030-seven ways to transform healthcare.
34397469,Current opinion in cardiology,Review,Surgery,,Unknown,yes,The cardiac surgeon's guide to artificial intelligence.
32940124,SLAS technology,Review,Medical Informatics / Digital Health,Singapore,East Asia,yes,Artificial Intelligence Effecting a Paradigm Shift in Drug Development.
33929707,Journal of robotic surgery,Research Article,Ophthalmology,Italy,Western Europe,yes,Can robotics be the future of ophthalmic surgery?
34370272,Physical and engineering sciences in medicine,Research Article,Medical Informatics / Digital Health,Australia,Latin America / Oceania,yes,Artificial intelligence (AI) will enable improved diagnosis and treatment outcomes.
35199553,Physiological research,Review,Medical Informatics / Digital Health,Czech Republic,Eastern Europe,yes,The potential applications of artificial intelligence in drug discovery and development.
34052390,Biochimica et biophysica acta. Reviews on cancer,Review,Oncology,USA,North America,yes,The potential of AI in cancer care and research.
33575021,Journal of healthcare engineering,Review,Medical Informatics / Digital Health,Sri Lanka,South/Southeast Asia,yes,Involvement of Machine Learning Tools in Healthcare Decision Making.
33937332,Frontiers in molecular biosciences,Research Article,Oncology,Saudi Arabia,Middle East / North Africa,yes,Nanogenomics and Artificial Intelligence: A Dynamic Duo for the Fight Against Breast Cancer.
34247564,The American journal of Chinese medicine,Review,Medical Informatics / Digital Health,China,East Asia,yes,The Impact of Artificial Intelligence on Traditional Chinese Medicine.
35054236,"Diagnostics (Basel, Switzerland)",Research Article,Cardiology,France,Western Europe,no,Deep Learning Supplants Visual Analysis by Experienced Operators for the Diagnosis of Cardiac Amyloidosis by Cine-CMR.
34019957,Advanced drug delivery reviews,Review,Medical Informatics / Digital Health,United Kingdom,Western Europe,yes,Harnessing artificial intelligence for the next generation of 3D printed medicines.
33848616,Biochimica et biophysica acta. Reviews on cancer,Review,Oncology,USA,North America,yes,Core services that power AI-driven transformation in cancer research and care.
34082064,Biochimica et biophysica acta. Reviews on cancer,Review,Oncology,USA,North America,yes,The case for AI-driven cancer clinical trials - The efficacy arm in silico.
32974930,Journal of surgical oncology,Review,Oncology,USA,North America,yes,Patient generated health data and electronic health record integration in oncologic surgery: A call for artificial intelligence and machine learning.
34527076,Computational and mathematical methods in medicine,Review,Medical Informatics / Digital Health,China,East Asia,yes,Influential Usage of Big Data and Artificial Intelligence in Healthcare.
34055034,Computational and mathematical methods in medicine,Research Article,Radiology / Diagnostic Imaging,Lebanon,Middle East / North Africa,no,Radiologists versus Deep Convolutional Neural Networks: A Comparative Study for Diagnosing COVID-19.
32961010,Clinical and translational science,Review,Medical Informatics / Digital Health,USA,North America,yes,"Precision Medicine, AI, and the Future of Personalized Health Care."
34471174,Scientific reports,Research Article,Dermatology,Vietnam,South/Southeast Asia,yes,"AI outperformed every dermatologist in dermoscopic melanoma diagnosis, using an optimized deep-CNN architecture with custom mini-batch logic and loss function."
32646768,Academic radiology,Research Article,Medical Education,USA,North America,yes,The TechnoPhysics Year: Transformation of Diagnostic Radiology's Clinical Year as a Matter of Necessity.
33496428,Academic medicine : journal of the Association of American Medical Colleges,Research Article,Medical Education,USA,North America,yes,Machine Learning: The Next Paradigm Shift in Medical Education.
33851753,Movement disorders : official journal of the Movement Disorder Society,Editorial,Neurology / Neuroscience,Germany,Western Europe,yes,Machine Learning Will Extend the Clinical Utility of Adaptive Deep Brain Stimulation.
34882190,JAMA,Research Article,Medical Informatics / Digital Health,USA,North America,yes,"Next-Generation Artificial Intelligence for Diagnosis: From Predicting Diagnostic Labels to ""Wayfinding""."
34064710,International journal of environmental research and public health,Review,Obstetrics / Gynecology,Israel,Middle East / North Africa,yes,Gynecology Meets Big Data in the Disruptive Innovation Medical Era: State-of-Art and Future Prospects.
33864838,Journal of the American Academy of Dermatology,Letter,Dermatology,China,East Asia,no,"Response to ""Reply to 'A deep learning-based smartphone platform for cutaneous lupus erythematosus classification assistance: Simplifying the diagnosis of complicated diseases.' Has the complicated disease been simplified too much?"" Artificial intelligence system is helpful for diagnosis of cutaneous lupus erythematosus."
33159824,Nursing inquiry,Research Article,Nursing,Thailand,South/Southeast Asia,yes,Transcending human frailties with technological enhancements and replacements: Transhumanist perspective in nursing and healthcare.
40477078,Mobile networks and applications : MONET,Research Article,Medical Informatics / Digital Health,Australia,Latin America / Oceania,yes,"Mobile Data Science and Intelligent Apps: Concepts, AI-Based Modeling and Research Directions."
